Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax)
Lending interest,2024-05-11 01:15:02,,,,,,,,,,0.06,CZK,,,Share lending interest,23b054f6-eb89-4506-9720-71b968eb9606,,,,
Lending interest,2024-05-13 01:13:34,,,,,,,,,,0.13,CZK,,,Share lending interest,4afefebf-501b-4729-b471-98301b7cc41e,,,,
Market buy,2024-05-13 07:00:14,DE0007030009,RHM,Rheinmetall,0.0221386,543.2,EUR,0.04014,,CZK,300.0,CZK,,,,EOF14350916676,0.45,CZK,,
Market buy,2024-05-13 07:00:36,GB0031348658,BARC,Barclays,2.0049078,214.35,GBX,3.46043,,CZK,125.0,CZK,,,,EOF14350919008,0.19,CZK,0.62,CZK
Market sell,2024-05-13 17:24:49,US19260Q1076,COIN,Coinbase,0.1979455,198.2,USD,0.04352,181.29,CZK,900.0,CZK,,,,EOF14402528881,1.35,CZK,,
Lending interest,2024-05-14 01:15:02,,,,,,,,,,0.06,CZK,,,Share lending interest,303c90dd-1e62-496e-94a3-906b4a3511bf,,,,
Market sell,2024-05-14 14:27:18,US19260Q1076,COIN,Coinbase,0.0214941,203.19,USD,0.04360,21.96,CZK,100.0,CZK,,,,EOF14451429739,0.15,CZK,,
Market sell,2024-05-14 14:29:15,DE0007030009,RHM,Rheinmetall,0.1551046,520.8,EUR,0.04034,-107.79,CZK,1999.09,CZK,,,,EOF14451430134,3.0,CZK,,
Market buy,2024-05-14 14:32:42,DE0007030009,RHM,Rheinmetall,0.1548291,520.4,EUR,0.04034,,CZK,2000.0,CZK,,,,EOF14451431121,3.0,CZK,,
Market buy,2024-05-14 14:40:16,US0231351067,AMZN,Amazon,0.1179902,184.6,USD,0.04362,,CZK,500.0,CZK,,,,EOF14451433145,0.75,CZK,,
Market buy,2024-05-14 14:42:49,DE0007030009,RHM,Rheinmetall,0.038766,519.4,EUR,0.04033,,CZK,500.0,CZK,,,,EOF14451433724,0.75,CZK,,
Market sell,2024-05-14 14:44:52,DE0007030009,RHM,Rheinmetall,0.1935951,519.2,EUR,0.04033,-4.09,CZK,2488.42,CZK,,,,EOF14451434203,3.74,CZK,,
Market buy,2024-05-14 14:55:28,DE0007030009,RHM,Rheinmetall,0.1548916,520.4,EUR,0.04036,,CZK,2000.0,CZK,,,,EOF14451437519,3.0,CZK,,
Market sell,2024-05-14 15:03:09,US85254J1025,STAG,STAG Industrial,1.353994,35.47,USD,0.04368,-83.96,CZK,1097.6,CZK,,,,EOF14451439402,1.65,CZK,,
Market buy,2024-05-14 15:03:33,US85254J1025,STAG,STAG Industrial,1.382776,35.48,USD,0.04367,,CZK,1124.99,CZK,,,,EOF14451439476,1.68,CZK,,
Market buy,2024-05-14 15:06:21,US85254J1025,STAG,STAG Industrial,0.086081,35.47,USD,0.04368,,CZK,69.99,CZK,,,,EOF14451439929,0.1,CZK,,
Market buy,2024-05-14 15:07:53,US0231351067,AMZN,Amazon,0.0939891,185.33,USD,0.04369,,CZK,399.29,CZK,,,,EOF14451440314,0.6,CZK,,
Lending interest,2024-05-15 01:14:39,,,,,,,,,,0.07,CZK,,,Share lending interest,085086ee-6fe6-42b2-9c4a-79a454130210,,,,
Dividend (Dividend),2024-05-15 11:57:02,US7561091049,O,Realty Income,0.843109,0.22,USD,Not available,,,4.22,CZK,0.03,USD,,,,,,
Dividend (Dividend),2024-05-15 12:05:50,US85254J1025,STAG,STAG Industrial,1.201394,0.1,USD,Not available,,,2.89,CZK,0.02,USD,,,,,,
Dividend (Dividend),2024-05-15 12:25:58,US56035L1044,MAIN,Main Street Capital,0.94695,0.2,USD,Not available,,,4.43,CZK,0.03,USD,,,,,,
Lending interest,2024-05-16 08:51:49,,,,,,,,,,0.07,CZK,,,Share lending interest,fc9dc6fd-ee55-4718-8156-1576f7192944,,,,
Market sell,2024-05-16 19:12:18,US02079K3059,GOOGL,Alphabet (Class A),0.0252763,174.25,USD,0.04397,16.07,CZK,100.0,CZK,,,,EOF14552505658,0.15,CZK,,
Market buy,2024-05-16 19:12:51,US0231351067,AMZN,Amazon,0.0238504,184.24,USD,0.04400,,CZK,100.0,CZK,,,,EOF14552505713,0.15,CZK,,
Market sell,2024-05-16 19:24:08,US0846707026,BRK.B,Berkshire Hathaway (Class B),0.0063638,415.22,USD,0.04397,9.58,CZK,60.0,CZK,,,,EOF14552507268,0.09,CZK,,
Market buy,2024-05-16 19:24:21,US0231351067,AMZN,Amazon,0.0143109,184.23,USD,0.04400,,CZK,60.0,CZK,,,,EOF14552507309,0.09,CZK,,
Lending interest,2024-05-17 01:13:13,,,,,,,,,,0.07,CZK,,,Share lending interest,86eb9b39-8886-42cc-ba32-281bec7069d2,,,,
Dividend (Dividend),2024-05-17 09:41:29,DE0007030009,RHM,Rheinmetall,0.1548916,4.2,EUR,Not available,,,16.04,CZK,0.23,EUR,,,,,,
Market sell,2024-05-17 14:30:14,US02079K3059,GOOGL,Alphabet (Class A),0.0250478,175.72,USD,0.04394,16.83,CZK,100.0,CZK,,,,EOF14600881366,0.15,CZK,,
Lending interest,2024-05-18 01:09:19,,,,,,,,,,0.07,CZK,,,Share lending interest,c12a09e7-f631-43b2-adca-8ec3fcf184c3,,,,
Lending interest,2024-05-20 01:10:12,,,,,,,,,,0.15,CZK,,,Share lending interest,34cfadc5-8b05-4a74-b289-5be8b07822a0,,,,
Market buy,2024-05-20 17:36:07,US0231351067,AMZN,Amazon,0.0239039,183.79,USD,0.04399,,CZK,100.0,CZK,,,,EOF14754128541,0.15,CZK,,
Market sell,2024-05-20 18:53:11,US19260Q1076,COIN,Coinbase,0.0140675,219.0,USD,0.04394,18.93,CZK,69.99,CZK,,,,EOF14754137450,0.11,CZK,,
Market sell,2024-05-20 18:53:49,US02079K3059,GOOGL,Alphabet (Class A),0.0124329,176.99,USD,0.04394,8.71,CZK,49.99,CZK,,,,EOF14754137487,0.08,CZK,,
Market buy,2024-05-20 18:59:21,US46625H1005,JPM,JPMorgan Chase & Co,0.0067038,196.47,USD,0.04397,,CZK,29.99,CZK,,,,EOF14754137982,0.04,CZK,,
Market buy,2024-05-20 19:02:20,US0231351067,AMZN,Amazon,0.0238901,183.77,USD,0.04396,,CZK,100.0,CZK,,,,EOF14754138250,0.15,CZK,,
Lending interest,2024-05-21 01:14:42,,,,,,,,,,0.07,CZK,,,Share lending interest,d428afc3-d097-44d7-8737-77ed99d087a7,,,,
Market sell,2024-05-21 17:29:55,US19260Q1076,COIN,Coinbase,0.0081066,227.8,USD,0.04390,12.57,CZK,42.0,CZK,,,,EOF14801577627,0.06,CZK,,
Market sell,2024-05-21 17:31:13,US5949181045,MSFT,Microsoft,0.0102239,430.04,USD,0.04390,11.91,CZK,100.0,CZK,,,,EOF14801577724,0.15,CZK,,
Market buy,2024-05-21 17:33:54,US0231351067,AMZN,Amazon,0.0241129,181.89,USD,0.04392,,CZK,100.0,CZK,,,,EOF14801578009,0.15,CZK,,
Lending interest,2024-05-22 01:15:05,,,,,,,,,,0.07,CZK,,,Share lending interest,9cf2c13b-3098-437b-aad1-7bb372c25b01,,,,
Lending interest,2024-05-23 09:21:43,,,,,,,,,,0.07,CZK,,,Share lending interest,767f710f-8747-43a0-9887-c22a10e38a24,,,,
Market buy,2024-05-23 15:09:53,US0231351067,AMZN,Amazon,0.0143493,183.5,USD,0.04379,,CZK,60.21,CZK,,,,EOF14901662934,0.09,CZK,,
Market sell,2024-05-23 16:22:30,US46625H1005,JPM,JPMorgan Chase & Co,0.0088597,197.86,USD,0.04375,9.53,CZK,40.0,CZK,,,,EOF14901675085,0.06,CZK,,
Market buy,2024-05-23 17:51:20,US02079K3059,GOOGL,Alphabet (Class A),0.0100195,174.31,USD,0.04372,,CZK,40.0,CZK,,,,EOF14901687379,0.06,CZK,,
Lending interest,2024-05-24 01:14:55,,,,,,,,,,0.07,CZK,,,Share lending interest,98c5af61-8d3f-4041-ad71-22cf21fc8123,,,,
Lending interest,2024-05-25 01:14:22,,,,,,,,,,0.06,CZK,,,Share lending interest,408bba22-5b86-4374-88cb-0b2efdbc50c5,,,,
Lending interest,2024-05-28 05:53:04,,,,,,,,,,0.21,CZK,,,Share lending interest,cb69f574-68eb-4313-96d1-396c96b2d3f5,,,,
Lending interest,2024-05-29 05:55:07,,,,,,,,,,0.07,CZK,,,Share lending interest,b9ac5b03-85e9-4193-82f8-609f860b02b1,,,,
Lending interest,2024-05-30 02:41:10,,,,,,,,,,0.07,CZK,,,Share lending interest,a432b099-bd6f-4305-98f0-0dd6aec0ac2f,,,,
Deposit,2024-05-30 14:40:38,,,,,,,,,,1000.0,CZK,,,Transaction ID: N3RFHXJFPR2SPDX3,c3805950-08df-429b-a386-76ba53a382ed,,,,
Market buy,2024-05-30 14:41:11,US02209S1033,MO,Altria,0.120608,45.38,USD,0.04385,,CZK,125.0,CZK,,,,EOF15251506739,0.19,CZK,,
Market buy,2024-05-30 14:41:34,US04010L1035,ARCC,Ares Capital,0.25589,21.39,USD,0.04385,,CZK,125.0,CZK,,,,EOF15251506834,0.19,CZK,,
Market buy,2024-05-30 14:41:58,GB0031348658,BARC,Barclays,1.9646541,217.85,GBX,3.44633,,CZK,125.0,CZK,,,,EOF15251506930,0.19,CZK,0.62,CZK
Market buy,2024-05-30 14:42:23,US4781601046,JNJ,Johnson & Johnson,0.0377288,145.08,USD,0.04385,,CZK,125.0,CZK,,,,EOF15251507105,0.19,CZK,,
Market buy,2024-05-30 14:42:48,US56035L1044,MAIN,Main Street Capital,0.113513,48.22,USD,0.04385,,CZK,125.0,CZK,,,,EOF15251507230,0.19,CZK,,
Market buy,2024-05-30 14:43:12,CA7063271034,PBA,Pembina Pipeline,0.150373,36.4,USD,0.04385,,CZK,125.0,CZK,,,,EOF15251507310,0.19,CZK,,
Market buy,2024-05-30 14:43:39,US7561091049,O,Realty Income,0.105464,51.9,USD,0.04385,,CZK,125.0,CZK,,,,EOF15251507341,0.19,CZK,,
Market buy,2024-05-30 14:44:02,US85254J1025,STAG,STAG Industrial,0.158056,34.63,USD,0.04385,,CZK,125.0,CZK,,,,EOF15251507419,0.19,CZK,,
Lending interest,2024-05-31 02:39:17,,,,,,,,,,0.07,CZK,,,Share lending interest,4dc71b15-6b5e-4435-998b-ae63f1194948,,,,
Market sell,2024-05-31 18:58:00,US0231351067,AMZN,Amazon,1.0457235,174.77,USD,0.04393,-226.83,CZK,4153.75,CZK,,,,EOF15302454496,6.24,CZK,,
Market sell,2024-05-31 19:01:02,US6098391054,MPWR,Monolithic Power Systems,0.0369453,713.93,USD,0.04389,44.85,CZK,600.0,CZK,,,,EOF15302454895,0.9,CZK,,
Market buy,2024-05-31 19:07:40,US5949181045,MSFT,Microsoft,0.0323431,406.97,USD,0.04394,,CZK,300.0,CZK,,,,EOF15302455242,0.45,CZK,,
Market buy,2024-05-31 19:08:24,US02079K3059,GOOGL,Alphabet (Class A),0.0256333,171.16,USD,0.04393,,CZK,100.0,CZK,,,,EOF15302455279,0.15,CZK,,
Market buy,2024-05-31 19:29:46,US0231351067,AMZN,Amazon,1.0043091,174.7,USD,0.04392,,CZK,4000.0,CZK,,,,EOF15302456925,5.99,CZK,,
Market buy,2024-05-31 19:32:03,US0846707026,BRK.B,Berkshire Hathaway (Class B),0.0106765,410.78,USD,0.04392,,CZK,100.0,CZK,,,,EOF15302457074,0.15,CZK,,
Lending interest,2024-06-01 02:43:24,,,,,,,,,,0.07,CZK,,,Share lending interest,759d16c4-aa86-44d5-af8a-196bad94a094,,,,
Lending interest,2024-06-03 02:41:11,,,,,,,,,,0.16,CZK,,,Share lending interest,20b61df0-50bf-4563-a676-4377ae4f46e7,,,,
Lending interest,2024-06-04 02:32:53,,,,,,,,,,0.07,CZK,,,Share lending interest,63dd90ec-f992-4903-84d8-55c6ae2e791a,,,,
Dividend (Dividend),2024-06-04 09:03:54,US4781601046,JNJ,Johnson & Johnson,0.3560719,1.05,USD,Not available,,,8.49,CZK,0.07,USD,,,,,,
Market buy,2024-06-04 09:22:47,DE0007030009,RHM,Rheinmetall,0.0203764,522.2,EUR,0.04050,,CZK,263.08,CZK,,,,EOF15456327445,0.39,CZK,,
Market sell,2024-06-04 18:19:18,US19260Q1076,COIN,Coinbase,0.0138011,245.9,USD,0.04401,26.91,CZK,76.99,CZK,,,,EOF15501527397,0.12,CZK,,
Lending interest,2024-06-05 02:48:13,,,,,,,,,,0.08,CZK,,,Share lending interest,7af2209e-2e86-41fb-9ccb-aec635c65c8b,,,,
Market sell,2024-06-05 17:25:41,US02079K3059,GOOGL,Alphabet (Class A),0.0202152,174.69,USD,0.04407,12.46,CZK,80.0,CZK,,,,EOF15551324200,0.12,CZK,,
Market sell,2024-06-05 17:26:35,US0231351067,AMZN,Amazon,0.024401,180.91,USD,0.04407,3.11,CZK,100.0,CZK,,,,EOF15551324736,0.15,CZK,,
Market sell,2024-06-05 17:27:16,US5949181045,MSFT,Microsoft,0.0208832,422.76,USD,0.04407,19.1,CZK,200.0,CZK,,,,EOF15551324844,0.3,CZK,,
Market sell,2024-06-05 19:18:01,US6098391054,MPWR,Monolithic Power Systems,0.0053031,750.17,USD,0.04413,10.32,CZK,89.99,CZK,,,,EOF15551343205,0.14,CZK,,
Lending interest,2024-06-06 02:35:30,,,,,,,,,,0.08,CZK,,,Share lending interest,b9867277-05f0-4662-9241-2b02c5e9ffab,,,,
Market buy,2024-06-06 07:00:29,DE000PAG9113,P911,Porsche,0.242593,76.42,EUR,0.04062,,CZK,457.07,CZK,,,,EOF15552713275,0.68,CZK,,
Market buy,2024-06-06 07:00:29,DE000PAG9113,P911,Porsche,0.047761,76.42,EUR,0.04062,,CZK,89.98,CZK,,,,EOF15552713288,0.13,CZK,,
Market sell,2024-06-06 17:29:17,US19260Q1076,COIN,Coinbase,0.0083724,259.6,USD,0.04429,18.61,CZK,49.0,CZK,,,,EOF15601244787,0.07,CZK,,
Market sell,2024-06-06 17:31:29,US0231351067,AMZN,Amazon,0.0120949,183.49,USD,0.04432,1.97,CZK,49.99,CZK,,,,EOF15601245039,0.08,CZK,,
Market buy,2024-06-07 07:00:17,DE000PAG9113,P911,Porsche,0.052996,76.02,EUR,0.04071,,CZK,99.09,CZK,,,,EOF15602384256,0.15,CZK,,
Market sell,2024-06-07 13:30:01,US0231351067,AMZN,Amazon,0.476641,185.0,USD,0.04402,107.46,CZK,2000.0,CZK,,,,EOF15603493691,3.0,CZK,,
Market sell,2024-06-07 13:30:01,US02079K3059,GOOGL,Alphabet (Class A),0.4987919,176.81,USD,0.04402,333.55,CZK,2000.0,CZK,,,,EOF15603494249,3.0,CZK,,
Market sell,2024-06-07 13:30:02,US19260Q1076,COIN,Coinbase,0.1705696,255.84,USD,0.04404,370.34,CZK,989.32,CZK,,,,EOF15603494459,1.49,CZK,,
Market sell,2024-06-07 13:30:02,US5949181045,MSFT,Microsoft,0.2070706,425.9,USD,0.04402,206.32,CZK,2000.0,CZK,,,,EOF15603494833,3.0,CZK,,
Market sell,2024-06-07 13:30:05,US67066G1040,NVDA,NVIDIA,0.25781787,1197.23,USD,0.04402,4148.72,CZK,6999.99,CZK,,,,EOF15603499684,10.52,CZK,,
Market sell,2024-06-07 13:30:05,US6098391054,MPWR,Monolithic Power Systems,0.0589007,748.61,USD,0.04402,115.01,CZK,1000.0,CZK,,,,EOF15650700666,1.5,CZK,,
Lending interest,2024-06-10 02:37:11,,,,,,,,,,0.01,CZK,,,Share lending interest,e3d309a1-cf7e-47bc-9a60-56f05082f9c9,,,,
Lending interest,2024-06-11 02:33:24,,,,,,,,,,0.08,CZK,,,Share lending interest,2ed1a223-e9c9-4451-aea2-0ae0d05f8066,,,,
Market sell,2024-06-11 15:12:15,US88160R1014,TSLA,Tesla,0.4101691,168.74,USD,0.04337,-1.99,CZK,1593.22,CZK,,,,EOF15800682070,2.39,CZK,,
Interest on cash,2024-06-11 21:01:40,,,,,,,,,,2.64,CZK,,,Interest on cash,37c7c1b4-5b3e-44fb-9c0c-640c61d99b13,,,,
Market buy,2024-06-12 07:00:04,DE000PAG9113,P911,Porsche,0.551892,73.18,EUR,0.04044,,CZK,1000.0,CZK,,,,EOF15801679475,1.5,CZK,,
Market sell,2024-06-12 07:00:28,DE0007030009,RHM,Rheinmetall,0.175268,519.8,EUR,0.04045,-7.59,CZK,2248.72,CZK,,,,EOF15801680330,3.38,CZK,,
Lending interest,2024-06-12 07:28:59,,,,,,,,,,0.08,CZK,,,Share lending interest,b4c61521-e9f1-4e63-a59f-b876bdf08f32,,,,
Dividend (Tax exempted),2024-06-12 12:18:06,DE000PAG9113,P911,Porsche,0.34335,2.31,EUR,Not available,,,19.6,CZK,0.0,EUR,,,,,,
Market buy,2024-06-12 14:25:41,US19260Q1076,COIN,Coinbase,0.3393698,258.97,USD,0.04400,,CZK,2000.0,CZK,,,,EOF15850783438,3.0,CZK,,
Market buy,2024-06-12 14:28:19,US02209S1033,MO,Altria,0.118978,46.19,USD,0.04403,,CZK,125.0,CZK,,,,EOF15850784202,0.19,CZK,,
Market buy,2024-06-12 14:28:33,US04010L1035,ARCC,Ares Capital,0.255751,21.49,USD,0.04403,,CZK,125.0,CZK,,,,EOF15850784256,0.19,CZK,,
Market buy,2024-06-12 14:29:00,GB0031348658,BARC,Barclays,2.0382179,208.8,GBX,3.42684,,CZK,125.0,CZK,,,,EOF15850784404,0.19,CZK,0.62,CZK
Market buy,2024-06-12 14:29:23,US4781601046,JNJ,Johnson & Johnson,0.0377434,145.62,USD,0.04403,,CZK,125.0,CZK,,,,EOF15850784489,0.19,CZK,,
Market buy,2024-06-12 14:29:49,US46625H1005,JPM,JPMorgan Chase & Co,0.0284983,192.86,USD,0.04403,,CZK,125.0,CZK,,,,EOF15850784611,0.19,CZK,,
Market buy,2024-06-12 14:30:36,CA7063271034,PBA,Pembina Pipeline,0.146009,37.64,USD,0.04403,,CZK,125.0,CZK,,,,EOF15850784825,0.19,CZK,,
Market buy,2024-06-12 14:30:48,US56035L1044,MAIN,Main Street Capital,0.111585,49.25,USD,0.04403,,CZK,125.0,CZK,,,,EOF15850784888,0.19,CZK,,
Market buy,2024-06-12 14:31:02,US7561091049,O,Realty Income,0.103357,53.17,USD,0.04403,,CZK,125.0,CZK,,,,EOF15850784931,0.19,CZK,,
Market buy,2024-06-12 14:31:30,US85254J1025,STAG,STAG Industrial,0.152935,35.94,USD,0.04403,,CZK,125.0,CZK,,,,EOF15850784991,0.19,CZK,,
Market buy,2024-06-12 19:59:01,US02209S1033,MO,Altria,0.223525,45.84,USD,0.04385,,CZK,234.0,CZK,,,,EOF15851892171,0.35,CZK,,
Market buy,2024-06-12 19:59:35,US04010L1035,ARCC,Ares Capital,0.214384,21.44,USD,0.04384,,CZK,105.0,CZK,,,,EOF15851892264,0.16,CZK,,
Interest on cash,2024-06-12 21:01:38,,,,,,,,,,2.3,CZK,,,Interest on cash,e41c84d4-36a2-408e-81ae-a979cb287f1b,,,,
Lending interest,2024-06-13 02:33:15,,,,,,,,,,0.08,CZK,,,Share lending interest,b4e3801e-679a-4560-9a2d-e5cf5effc059,,,,
Market buy,2024-06-13 07:00:18,DE000PAG9113,P911,Porsche,0.554165,72.16,EUR,0.04053,,CZK,988.0,CZK,,,,EOF15853055941,1.48,CZK,,
Market buy,2024-06-13 07:00:46,GB0031348658,BARC,Barclays,0.4088895,208.2,GBX,3.42716,,CZK,24.88,CZK,,,,EOF15853059066,0.04,CZK,,
Dividend (Dividend),2024-06-13 09:25:48,US5949181045,MSFT,Microsoft,0.4200387,0.64,USD,Not available,,,6.11,CZK,0.05,USD,,,,,,
Market buy,2024-06-13 13:30:02,US85254J1025,STAG,STAG Industrial,0.455863,35.37,USD,0.04376,,CZK,369.0,CZK,,,,EOF15900168123,0.55,CZK,,
Market buy,2024-06-13 13:30:02,CA7063271034,PBA,Pembina Pipeline,0.350591,37.39,USD,0.04376,,CZK,300.0,CZK,,,,EOF15900168117,0.45,CZK,,
Market buy,2024-06-13 13:30:02,US7561091049,O,Realty Income,0.342497,52.69,USD,0.04376,,CZK,413.0,CZK,,,,EOF15900168120,0.62,CZK,,
Market buy,2024-06-13 13:30:03,US56035L1044,MAIN,Main Street Capital,0.228206,49.02,USD,0.04376,,CZK,256.0,CZK,,,,EOF15900171822,0.38,CZK,,
Market buy,2024-06-13 13:30:05,US4781601046,JNJ,Johnson & Johnson,0.5754509,145.04,USD,0.04376,,CZK,1910.0,CZK,,,,EOF15900174262,2.86,CZK,,
Interest on cash,2024-06-13 21:02:08,,,,,,,,,,1.62,CZK,,,Interest on cash,2413bccd-decd-4513-9a3b-6f37cca35ced,,,,
Lending interest,2024-06-14 02:35:27,,,,,,,,,,0.09,CZK,,,Share lending interest,f4f27a5a-1a10-475d-bd8f-523f597adc5a,,,,
Dividend (Dividend),2024-06-14 12:39:08,US7561091049,O,Realty Income,1.046594,0.22,USD,Not available,,,5.38,CZK,0.04,USD,,,,,,
Dividend (Dividend),2024-06-14 12:50:34,US56035L1044,MAIN,Main Street Capital,1.169029,0.2,USD,Not available,,,5.49,CZK,0.04,USD,,,,,,
Market sell,2024-06-14 13:30:03,US6098391054,MPWR,Monolithic Power Systems,0.0060458,800.38,USD,0.04313,21.18,CZK,112.0,CZK,,,,EOF15903899765,0.17,CZK,,
Interest on cash,2024-06-14 21:01:54,,,,,,,,,,1.63,CZK,,,Interest on cash,2db76a57-c675-424d-880c-6b53b6c7a804,,,,
Lending interest,2024-06-15 02:36:18,,,,,,,,,,0.11,CZK,,,Share lending interest,571c662c-e1ad-4d03-b0a2-1299fc2133df,,,,
Interest on cash,2024-06-15 21:01:43,,,,,,,,,,1.64,CZK,,,Interest on cash,bc04d8aa-1d5d-4cd5-adb7-c5e117b40e9d,,,,
Interest on cash,2024-06-16 21:01:38,,,,,,,,,,1.64,CZK,,,Interest on cash,dbcc9911-2262-4e86-b1df-9036ce2ec093,,,,
Lending interest,2024-06-17 02:41:00,,,,,,,,,,0.23,CZK,,,Share lending interest,c2541a3d-a6f0-457c-aab3-057be22f4544,,,,
Dividend (Dividend),2024-06-17 12:49:13,US85254J1025,STAG,STAG Industrial,1.626913,0.1,USD,Not available,,,3.94,CZK,0.03,USD,,,,,,
Dividend (Dividend),2024-06-17 13:09:11,US02079K3059,GOOGL,Alphabet (Class A),0.5108881,0.17,USD,Not available,,,2.0,CZK,0.02,USD,,,,,,
Market buy,2024-06-17 15:54:00,US5949181045,MSFT,Microsoft,0.1947728,444.62,USD,0.04336,,CZK,2000.0,CZK,,,,EOF16102781253,3.0,CZK,,
Interest on cash,2024-06-17 21:01:51,,,,,,,,,,1.32,CZK,,,Interest on cash,c5827ac1-1ce9-490e-ac92-145bf34c7806,,,,
Lending interest,2024-06-18 02:32:22,,,,,,,,,,0.12,CZK,,,Share lending interest,c070a97e-badb-4441-b5de-fb6cbf6eb157,,,,
Interest on cash,2024-06-18 21:01:45,,,,,,,,,,1.32,CZK,,,Interest on cash,0b8ca537-eda2-4848-8654-d53c62e6b11c,,,,
Lending interest,2024-06-19 02:39:24,,,,,,,,,,0.12,CZK,,,Share lending interest,86e68c58-5460-4350-80ad-0bbd0de322eb,,,,
Interest on cash,2024-06-19 21:02:01,,,,,,,,,,1.32,CZK,,,Interest on cash,d7be4fdc-5133-4b29-8772-7616d4cbadab,,,,
Lending interest,2024-06-20 06:14:55,,,,,,,,,,0.13,CZK,,,Share lending interest,efba98ca-6527-43fb-9448-d71c9ab3a0b6,,,,
Market buy,2024-06-20 13:30:03,US6098391054,MPWR,Monolithic Power Systems,0.0504713,852.0,USD,0.04306,,CZK,1000.0,CZK,,,,EOF16250804275,1.5,CZK,,
Market buy,2024-06-20 13:30:03,US5949181045,MSFT,Microsoft,0.096265,446.7,USD,0.04306,,CZK,1000.0,CZK,,,,EOF16250804267,1.5,CZK,,
Market sell,2024-06-20 13:30:07,US19260Q1076,COIN,Coinbase,0.3393698,237.31,USD,0.04305,-126.4,CZK,1867.79,CZK,,,,EOF16250819080,2.81,CZK,,
Market sell,2024-06-20 14:18:38,US0231351067,AMZN,Amazon,0.4911722,183.54,USD,0.04307,139.51,CZK,2089.7,CZK,,,,EOF16252218916,3.14,CZK,,
Interest on cash,2024-06-20 21:01:59,,,,,,,,,,1.63,CZK,,,Interest on cash,db9ac070-8332-49bf-a11a-7c63f27a2178,,,,
Lending interest,2024-06-21 02:32:38,,,,,,,,,,0.13,CZK,,,Share lending interest,46dd108e-c356-4e32-988b-973e5e6b5c58,,,,
Market buy,2024-06-21 07:56:18,NL0010273215,ASML,ASML,0.0817309,979.0,EUR,0.04006,,CZK,2000.0,CZK,,,,EOF16254807861,3.0,CZK,,
Market buy,2024-06-21 13:18:13,GB0007980591,BP,BP,7.1530762,471.9,GBX,3.39748,,CZK,999.99,CZK,,,,EOF16254835800,1.49,CZK,4.96,CZK
Market buy,2024-06-21 13:20:11,GB0007980591,BP,BP,7.1519495,472.0,GBX,3.39766,,CZK,999.99,CZK,,,,EOF16254835930,1.49,CZK,4.96,CZK
Interest on cash,2024-06-21 21:01:53,,,,,,,,,,1.0,CZK,,,Interest on cash,187fe2a9-215b-40f1-8b5e-b609df3c0d41,,,,
Lending interest,2024-06-22 02:40:15,,,,,,,,,,0.01,CZK,,,Share lending interest,68d79adf-c5e2-4f86-87bf-13cc5b5f4036,,,,
Interest on cash,2024-06-22 21:01:43,,,,,,,,,,0.99,CZK,,,Interest on cash,9e1b5a44-f1f2-408d-a139-97c3d2d6609c,,,,
Interest on cash,2024-06-23 21:01:46,,,,,,,,,,1.0,CZK,,,Interest on cash,04cc54a7-9010-4d05-ae4f-93e7efd969a8,,,,
Lending interest,2024-06-24 02:42:32,,,,,,,,,,0.02,CZK,,,Share lending interest,0dce089a-db61-46d3-a450-5565281ce9dd,,,,
Withdrawal,2024-06-24 17:53:40,,,,,,,,,,-3000.0,CZK,,,Sent to card **** 2578,639ec03f-bbb8-4b9b-bf42-acb2fcbff554,,,,
Interest on cash,2024-06-24 21:01:59,,,,,,,,,,0.51,CZK,,,Interest on cash,185d5597-8019-435d-9498-ed380814be39,,,,
Lending interest,2024-06-25 02:42:32,,,,,,,,,,0.13,CZK,,,Share lending interest,73b9f423-7915-4f60-9a20-ff88e40b8f95,,,,
Interest on cash,2024-06-25 21:01:43,,,,,,,,,,0.52,CZK,,,Interest on cash,bac4ad57-2a07-4777-afa9-dc040f135707,,,,
Lending interest,2024-06-26 02:32:48,,,,,,,,,,0.13,CZK,,,Share lending interest,a8cd9983-7536-47e3-9798-2d03482f6bd4,,,,
Interest on cash,2024-06-26 21:01:46,,,,,,,,,,0.52,CZK,,,Interest on cash,729cba2c-c855-4b26-ae03-e565850750c0,,,,
Lending interest,2024-06-27 02:23:56,,,,,,,,,,0.13,CZK,,,Share lending interest,d491a8d7-5de4-4a05-a4f8-0434b3bb4c6b,,,,
Dividend (Dividend),2024-06-27 12:56:24,US56035L1044,MAIN,Main Street Capital,1.50882,0.26,USD,Not available,,,8.96,CZK,0.07,USD,,,,,,
Market buy,2024-06-27 16:53:36,US0231351067,AMZN,Amazon,0.4290895,198.8,USD,0.04271,,CZK,2000.0,CZK,,,,EOF16602012792,3.0,CZK,,
Interest on cash,2024-06-27 21:01:56,,,,,,,,,,0.2,CZK,,,Interest on cash,8b7de128-92a8-4917-98ce-a916444d36ae,,,,
Lending interest,2024-06-28 02:26:43,,,,,,,,,,0.13,CZK,,,Share lending interest,3fc3f007-8950-4c38-9ab5-288afcf682ec,,,,
