Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax)
Market sell,2023-11-30 16:19:12,US19260Q1076,COIN,Coinbase,0.1756404,121.59,USD,0.04489,-23.57,CZK,474.97,CZK,,,,EOF6800372664,0.71,CZK,,
Market buy,2023-11-30 16:21:44,US02079K3059,GOOGL,Alphabet (Class A),0.0338659,132.31,USD,0.04487,,CZK,100.0,CZK,,,,EOF6800373029,0.15,CZK,,
Deposit,2023-12-10 13:19:16,,,,,,,,,,2000.0,CZK,,,Transaction ID: JTJ5MJZB5ZMBFF32,3ed14322-c33d-4024-a790-7eb39a4758ae,,,,
Interest on cash,2023-12-11 22:07:43,,,,,,,,,,0.34,CZK,,,Interest on cash,162ca36b-2940-4aaa-8cb6-61418ebfa9dc,,,,
Interest on cash,2023-12-12 22:07:37,,,,,,,,,,0.34,CZK,,,Interest on cash,4bee6490-8ba4-43db-99b3-af097df3cf33,,,,
Dividend (Dividend),2023-12-13 12:07:24,US6668071029,NOC,Northrop Grumman,0.0953559,1.59,USD,Not available,,,3.44,CZK,0.03,USD,,,,,,
Market buy,2023-12-13 19:40:33,US68389X1054,ORCL,Oracle,0.434651,102.32,USD,0.04454,,CZK,1000.0,CZK,,,,EOF7351902776,1.5,CZK,,
Interest on cash,2023-12-13 22:07:04,,,,,,,,,,0.3,CZK,,,Interest on cash,c7a49801-2224-4a71-b8e6-9e0f4daeb57d,,,,
Market buy,2023-12-14 18:14:18,US5949181045,MSFT,Microsoft,0.0122929,365.78,USD,0.04503,,CZK,100.0,CZK,,,,EOF7401036549,0.15,CZK,,
Market buy,2023-12-14 20:11:48,US68389X1054,ORCL,Oracle,0.0447767,100.32,USD,0.04498,,CZK,100.0,CZK,,,,EOF7401049734,0.15,CZK,,
Interest on cash,2023-12-14 22:07:50,,,,,,,,,,0.3,CZK,,,Interest on cash,0d72ccde-48b4-4884-a0ea-6e66cc4c04cf,,,,
Interest on cash,2023-12-15 22:08:47,,,,,,,,,,0.3,CZK,,,Interest on cash,88fd1804-9cf3-4cd0-9c9e-5b3007447279,,,,
Interest on cash,2023-12-16 22:08:11,,,,,,,,,,0.3,CZK,,,Interest on cash,ee741900-ab4e-4f7c-a8aa-7af8fea46087,,,,
Interest on cash,2023-12-17 22:08:39,,,,,,,,,,0.3,CZK,,,Interest on cash,041de1d1-56b2-4c4a-9f83-6d067d393f0c,,,,
Market buy,2023-12-18 18:31:24,US6668071029,NOC,Northrop Grumman,0.0096432,461.99,USD,0.04461,,CZK,100.0,CZK,,,,EOF7551477562,0.15,CZK,,
Interest on cash,2023-12-18 22:07:48,,,,,,,,,,0.3,CZK,,,Interest on cash,400c58e8-3d18-4426-ae51-5010a45a36e2,,,,
Interest on cash,2023-12-19 22:07:51,,,,,,,,,,0.3,CZK,,,Interest on cash,ba580a87-621d-423a-a0e6-ccb03e88bebb,,,,
Market buy,2023-12-20 18:52:46,US6668071029,NOC,Northrop Grumman,0.0482897,463.16,USD,0.04479,,CZK,500.0,CZK,,,,EOF7650745580,0.75,CZK,,
Interest on cash,2023-12-20 22:07:38,,,,,,,,,,0.28,CZK,,,Interest on cash,7e487b05-56b8-401e-b479-e97788f2414b,,,,
Interest on cash,2023-12-21 22:07:43,,,,,,,,,,0.28,CZK,,,Interest on cash,b3173bf0-4f68-4095-bfb4-33156ae6cff1,,,,
Interest on cash,2023-12-22 22:07:57,,,,,,,,,,0.28,CZK,,,Interest on cash,12dedfbc-837c-4a90-ac87-48db02a813dc,,,,
Interest on cash,2023-12-23 22:08:28,,,,,,,,,,0.28,CZK,,,Interest on cash,45cddd52-7336-4ace-a27f-65c5d96745d8,,,,
Interest on cash,2023-12-24 22:07:53,,,,,,,,,,0.28,CZK,,,Interest on cash,311e05ad-73dd-46a6-87b7-7a927c3445f3,,,,
Interest on cash,2023-12-25 22:08:29,,,,,,,,,,0.28,CZK,,,Interest on cash,6ad9d086-6258-4abf-a629-de31475a471b,,,,
